id,kode_provinsi,nama_provinsi,nama_kabupaten_kota,jumlah_penduduk,jumlah_penduduk_miskin,persentase_penduduk_miskin,tingkat_pengangguran_terbuka,pdrb_total_adhk,harapan_lama_sekolah,tahun,skor,kesejahteraan
96,32,JAWA BARAT,KARAWANG,2225380,238600,10.69,10.1,120295000000    ,11.31,2013,41.48921899,CUKUP SEJAHTERA
97,32,JAWA BARAT,BEKASI,3002110,157700,5.2,10.34,186207000000    ,11.42,2013,25.78795224,TIDAK SEJAHTERA
98,32,JAWA BARAT,BANDUNG BARAT,1588780,206000,12.92,10.56,22937000000    ,11,2013,46.43860559,CUKUP SEJAHTERA
99,32,JAWA BARAT,PANGANDARAN,386129,0,0,10.51,5733000000    ,11.48,2013,27.55633867,TIDAK SEJAHTERA
100,32,JAWA BARAT,KOTA BOGOR,1013020,83300,8.19,10.6,22485000000    ,12.1,2013,37.89293807,TIDAK SEJAHTERA
101,32,JAWA BARAT,KOTA SUKABUMI,311822,25200,8.05,10.32,6302000000    ,13.08,2013,39.0501141,TIDAK SEJAHTERA
102,32,JAWA BARAT,KOTA BANDUNG,2458500,117700,4.78,9.14,129005000000    ,13.13,2013,26.57352654,TIDAK SEJAHTERA
103,32,JAWA BARAT,KOTA CIREBON,301728,31900,10.54,7.18,11864000000    ,12.58,2013,42.46764438,CUKUP SEJAHTERA
104,32,JAWA BARAT,KOTA BEKASI,2570400,137800,5.33,9.07,49741000000    ,13.2,2013,27.59263561,TIDAK SEJAHTERA
105,32,JAWA BARAT,KOTA DEPOK,1962180,45900,2.32,9.74,32806000000    ,13.24,2013,22.93762624,TIDAK SEJAHTERA
106,32,JAWA BARAT,KOTA CIMAHI,570991,32300,5.63,11.26,16072000000    ,13.7,2013,34.88775999,TIDAK SEJAHTERA
107,32,JAWA BARAT,KOTA TASIKMALAYA,651676,112200,17.19,11.6,10962000000    ,13.11,2013,52.51532015,CUKUP SEJAHTERA
108,32,JAWA BARAT,KOTA BANJAR,179706,12800,7.11,6.38,2374000000    ,12.29,2013,38.0899392,TIDAK SEJAHTERA
109,32,JAWA BARAT,BOGOR,5331150,479100,8.91,4.9,117340000000    ,11.81,2014,32.57406088,TIDAK SEJAHTERA
110,32,JAWA BARAT,SUKABUMI,2422110,213500,8.81,5.28,35521000000    ,12.12,2014,36.66800911,TIDAK SEJAHTERA
111,32,JAWA BARAT,CIANJUR,2235420,256600,11.47,7.09,24042000000    ,11.82,2014,43.29810559,CUKUP SEJAHTERA
112,32,JAWA BARAT,BANDUNG,3470390,266800,7.65,16.04,61100000000    ,11.74,2014,31.52820399,TIDAK SEJAHTERA
113,32,JAWA BARAT,GARUT,2526190,315600,12.47,6.71,30542000000    ,11.62,2014,45.78325281,CUKUP SEJAHTERA
114,32,JAWA BARAT,TASIKMALAYA,1728590,194800,11.26,7.42,18850000000    ,12.41,2014,42.96570614,CUKUP SEJAHTERA
115,32,JAWA BARAT,CIAMIS,1162100,130000,8.38,7.75,16839000000    ,13.57,2014,39.62719188,TIDAK SEJAHTERA
116,32,JAWA BARAT,KUNINGAN,1049080,133600,12.72,8.01,12385000000    ,12.01,2014,45.7553535,CUKUP SEJAHTERA
117,32,JAWA BARAT,CIREBON,2109590,300500,14.22,9.26,26313000000    ,11.6,2014,49.6993995,CUKUP SEJAHTERA
118,32,JAWA BARAT,MAJALENGKA,1176310,158000,13.42,11.25,15751000000    ,11.61,2014,47.08513964,CUKUP SEJAHTERA
119,32,JAWA BARAT,SUMEDANG,1131520,122000,10.78,7.78,18005000000    ,12.89,2014,42.2937086,CUKUP SEJAHTERA
120,32,JAWA BARAT,INDRAMAYU,1682020,240700,14.29,10.09,55464000000    ,11.62,2014,49.31558758,CUKUP SEJAHTERA
121,32,JAWA BARAT,SUBANG,1513090,177900,11.73,9.33,22506000000    ,11.44,2014,43.99027278,CUKUP SEJAHTERA
