id,kode_provinsi,nama_provinsi,nama_kabupaten_kota,jumlah_penduduk,jumlah_penduduk_miskin,jumlah_pengangguran_terbuka,pdrb_total_adhk,harapan_lama_sekolah,tahun,skor,kesejahteraan,,,,,
168,32,JAWA BARAT,TASIKMALAYA,1742280,195600,117430,20825000000,4,2016,40.5185,Tidak Sejahtera,,,,,
169,32,JAWA BARAT,CIAMIS,1175390,98800,92033,18845000000,4,2016,39.44168333,Sangat Tidak Sejahtera,,,,,
170,32,JAWA BARAT,KUNINGAN,1061890,144100,117870,13978000000,4,2016,27.66083333,Sangat Tidak Sejahtera,,,,,
171,32,JAWA BARAT,CIREBON,2143000,288500,145510,29149000000,4,2016,54.21416667,Tidak Sejahtera,,,,,
172,32,JAWA BARAT,MAJALENGKA,1188000,152500,96822,17592000000,3,2016,33.80123333,Sangat Tidak Sejahtera,,,,,
173,32,JAWA BARAT,SUMEDANG,1142100,120600,108271,20030000000,4,2016,40.63645,Tidak Sejahtera,,,,,
174,32,JAWA BARAT,INDRAMAYU,1700810,237000,197974,56706000000,4,2016,107.5633,Sangat Sejahtera,,,,,
175,32,JAWA BARAT,SUBANG,1546000,170400,124453,24977000000,3,2016,46.89135,Tidak Sejahtera,,,,,
176,32,JAWA BARAT,PURWAKARTA,932701,83600,102784,40170000000,3,2016,79.80746667,Sejahtera,,,,,
177,32,JAWA BARAT,KARAWANG,2295780,230600,214885,1.41E+11,3,2016,273.6644167,Sangat Sejahtera,,,,,
178,32,JAWA BARAT,BEKASI,3371690,164400,284571,2.16E+11,4,2016,422.88745,Sangat Sejahtera,,,,,
179,32,JAWA BARAT,BANDUNG BARAT,1648390,192500,158575,26926000000,3,2016,48.71491667,Tidak Sejahtera,,,,,
180,32,JAWA BARAT,PANGANDARAN,392817,40100,21134,6603000000,4,2016,19.48096667,Sangat Tidak Sejahtera,,,,,
181,32,JAWA BARAT,KOTA BOGOR,1064690,77300,78574,27002000000,4,2016,56.78696667,Cukup,,,,,
182,32,JAWA BARAT,KOTA SUKABUMI,321097,27500,32142,7379000000,4,2016,20.69256667,Sangat Tidak Sejahtera,,,,,
183,32,JAWA BARAT,KOTA BANDUNG,2490620,107600,250307,1.61E+11,4,2016,316.1473167,Sangat Sejahtera,,,,,
184,32,JAWA BARAT,KOTA CIREBON,310486,30200,31235,14077000000,4,2016,34.08891667,Sangat Tidak Sejahtera,,,,,
185,32,JAWA BARAT,KOTA BEKASI,2787210,140000,112325,58831000000,4,2016,117.7124167,Sangat Sejahtera,,,,,
186,32,JAWA BARAT,KOTA DEPOK,2179810,50600,141688,40263000000,4,2016,80.59826667,Sejahtera,,,,,
187,32,JAWA BARAT,KOTA CIMAHI,594021,35100,50551,18882000000,4,2016,42.65145,Tidak Sejahtera,,,,,
188,32,JAWA BARAT,KOTA TASIKMALAYA,659606,102800,46106,13225000000,4,2016,30.43136667,Sangat Tidak Sejahtera,,,,,
189,32,JAWA BARAT,KOTA BANJAR,181901,12700,13624,2773000000,4,2016,12.65313333,Sangat Tidak Sejahtera,,,,,
190,32,JAWA BARAT,BOGOR,5715010,487300,600648,1.40E+11,4,2017,248.9679333,Sangat Sejahtera,,,,,
191,32,JAWA BARAT,SUKABUMI,2453500,197100,98385,41716000000,4,2017,83.22775,Sejahtera,,,,,
192,32,JAWA BARAT,CIANJUR,2256590,257400,203093,28539000000,3,2017,48.63335,Tidak Sejahtera,,,,,
193,32,JAWA BARAT,BANDUNG,3657600,268000,311262,73039000000,4,2017,134.0482333,Sangat Sejahtera,,,,,
194,32,JAWA BARAT,GARUT,2588840,291200,259920,35465000000,3,2017,59.08066667,Cukup,,,,,
195,32,JAWA BARAT,TASIKMALAYA,1747320,189400,174732,22063000000,4,2017,40.23273333,Tidak Sejahtera,,,,,
196,32,JAWA BARAT,CIAMIS,1181980,96800,136046,19827000000,4,2017,39.23836667,Sangat Tidak Sejahtera,,,,,
197,32,JAWA BARAT,KUNINGAN,1068200,141600,107140,14867000000,4,2017,30.017,Sangat Tidak Sejahtera,,,,,
198,32,JAWA BARAT,CIREBON,2159580,279600,216174,30623000000,4,2017,53.7773,Tidak Sejahtera,,,,,
199,32,JAWA BARAT,MAJALENGKA,1193720,150300,57418,18789000000,4,2017,40.2021,Tidak Sejahtera,,,,,
200,32,JAWA BARAT,SUMEDANG,1146440,120600,127026,21277000000,4,2017,42.1927,Tidak Sejahtera,,,,,
201,32,JAWA BARAT,INDRAMAYU,1709990,233400,154925,57515000000,4,2017,111.39375,Sangat Sejahtera,,,,,
202,32,JAWA BARAT,SUBANG,1562510,167800,140938,26251000000,3,2017,48.65843333,Tidak Sejahtera,,,,,
203,32,JAWA BARAT,PURWAKARTA,943337,85300,106408,42239000000,3,2017,83.73593333,Sejahtera,,,,,
204,32,JAWA BARAT,KARAWANG,2316490,236800,216823,1.48E+11,3,2017,287.9281833,Sangat Sejahtera,,,,,
205,32,JAWA BARAT,BEKASI,3500020,164000,261801,2.28E+11,4,2017,448.5846167,Sangat Sejahtera,,,,,
